,Year,State,TMAX_AVG,Population,meat_consumption,co2_emission,petroleum_emission,natural_gas_emission,electricity_emission,coal_emission,coal_consumption,natural_gas_consumption,petroleum_consumption
74,1991,MS,237.50702110545205,2591230.0,272492.0,48.2,25.6,13.6,12.3,9.1,2390132.0,47047924.666666664,489045.3333333333
75,1991,MT,127.61097051884107,807837.0,733091.0,28.1,8.2,2.5,17.0,17.5,6973525.333333333,284890.0,23046.0
76,1991,NC,215.16667996126586,6748135.0,848995.0,110.5,47.8,9.1,47.7,54.0,7920195.6,1430845.3333333333,207934.4
77,1991,ND,123.89924546689863,634199.0,476100.0,45.4,7.3,2.2,27.9,36.1,14811919.333333334,5984.666666666667,69134.66666666667
78,1991,NE,174.16270602228224,1590805.0,5669847.0,33.7,13.3,6.0,14.1,14.5,5692054.0,3689012.0,30477.0
79,1991,NH,139.91675597383002,1107055.0,7958.0,14.3,10.3,0.7,4.5,3.3,1242045.0,0.0,1106486.8
80,1991,NJ,186.09003378958909,7784269.0,17039.0,109.2,76.6,27.0,12.1,5.9,2081090.0,34392966.666666664,1300981.0
81,1991,NM,191.3088467227261,1547115.0,775488.0,48.8,14.6,12.0,23.8,22.3,12809028.0,11845358.8,45760.0
82,1991,NV,170.96005746907397,1285046.0,147484.0,32.5,11.8,3.6,18.2,17.2,7892202.0,15208804.0,302056.6666666667
83,1991,NY,150.98809318898637,18029532.0,208050.0,198.9,117.5,48.6,60.0,33.5,4256993.2,78985019.0,18386154.8
84,1991,OH,174.12801905026026,10933683.0,720370.0,242.7,66.8,42.3,113.4,134.5,24916675.5,2297588.0,441082.5
85,1991,OK,226.72531301702188,3166471.0,2263702.0,88.6,27.8,31.3,37.9,29.8,8366941.0,71573890.0,45156.666666666664
86,1991,OR,152.6003305539643,2918745.0,451555.0,33.7,24.0,6.8,3.6,3.1,1220560.6666666667,5984510.0,18552.666666666668
87,1991,PA,172.65894406143838,11943160.0,603958.0,254.4,84.6,35.3,104.6,135.4,15082861.666666666,6837395.666666667,2653804.0
88,1991,RI,165.91324200975342,1003990.0,1816.0,10.7,6.6,4.1,1.4,0.0,0.0,7695331.0,65001.666666666664
89,1991,SC,236.402535981041,3559470.0,194360.0,61.6,26.8,7.3,22.9,27.7,6304163.333333333,5366812.0,156259.5
90,1991,SD,151.00347423934792,701445.0,1597427.0,11.5,6.4,1.4,3.2,3.7,2570208.0,177170.0,34663.0
91,1991,TN,210.56320707926054,4946886.0,586446.0,99.6,33.7,12.4,44.7,53.8,9894672.0,1196201.0,193917.33333333334
92,1991,TX,249.62880190627382,17339904.0,6193393.0,601.1,273.5,202.6,183.1,127.0,60143178.666666664,521626141.2,1210402.4
93,1991,UT,143.46312801984095,1771941.0,301682.0,52.9,12.8,7.5,28.3,32.7,8553387.333333334,3047531.5,43548.5
94,1991,VA,205.21048112827407,6283853.0,477547.0,95.9,50.1,10.0,25.6,36.1,4939134.0,5945164.4,1809698.0
95,1991,VT,129.773703039781,567141.0,46687.0,5.6,5.3,0.4,0.1,0.0,0.0,1091331.0,15225.0
96,1991,WA,138.0928401629726,5013443.0,610723.0,66.8,49.1,9.5,8.0,8.5,2607477.0,1516562.3333333333,46131.0
97,1991,WI,127.2226033865944,4952675.0,1073772.0,87.7,31.7,17.7,34.5,38.6,12861704.666666666,2697259.5,249876.66666666666
98,1991,WV,184.48955693446567,1798212.0,106890.0,95.4,13.1,6.3,66.0,76.3,11273341.2,286644.5,197938.5
99,1991,WY,116.30526934255889,457739.0,651089.0,55.0,6.8,5.4,38.7,42.9,15505155.333333334,1697891.3333333333,82464.0
100,1992,AK,47.37766242522953,587073.0,931.0,36.6,15.0,20.3,2.3,1.2,268158.6666666667,18868250.0,486432.0
101,1992,AL,228.8897221303825,4139269.0,476767.0,121.0,32.2,15.2,58.3,73.6,12634429.5,7787269.5,288210.0
102,1992,AR,217.58543591095622,2394098.0,514997.0,51.4,18.4,12.0,21.9,21.0,8173732.666666667,19292156.5,49603.5
103,1992,AZ,233.34147456032792,3867333.0,612436.0,66.6,24.3,7.1,35.8,35.2,11591139.333333334,15795644.5,86169.0
104,1992,CA,216.0430544271039,30875920.0,1532068.0,349.4,219.3,121.5,45.6,8.7,756514.0,266575641.66666666,1182173.0
105,1992,CO,136.2941315546721,3459995.0,2452888.0,68.3,21.8,14.1,31.6,32.4,10663526.0,4214370.333333333,34422.0
106,1992,CT,142.08553676557096,3274997.0,16656.0,40.2,29.8,6.7,8.8,3.7,977708.0,4961252.4,3043483.3333333335
107,1992,DE,178.17418032786884,690158.0,9639.0,16.3,9.7,2.2,6.9,4.4,1141483.3333333333,5607758.0,3430698.6666666665
108,1992,FL,277.25903353087426,13504775.0,362616.0,191.8,110.4,19.6,91.8,61.9,12732253.0,84828930.0,15247195.333333334
109,1992,GA,229.76781699685768,6759474.0,436135.0,130.6,53.7,18.6,54.3,58.4,16062994.0,2803116.4,670361.2
110,1992,HI,263.1967647420767,1149926.0,35842.0,20.7,19.9,0.1,7.3,0.6,176695.33333333334,0.0,5688102.4
111,1992,IA,144.29208614003554,2806923.0,4900429.0,63.5,19.9,12.3,26.4,31.4,6389067.6,1562880.6666666667,40643.6
112,1992,ID,142.2697479057077,1066490.0,715919.0,11.3,7.7,2.7,0.0,0.9,30719.0,1382376.0,2571.3333333333335
113,1992,IL,164.2284621266339,11635197.0,1754414.0,186.9,67.0,53.6,53.6,66.4,17402294.0,8159551.2,1137789.0
114,1992,IN,159.27129982974594,5648649.0,1057690.0,197.6,49.4,25.8,95.3,122.4,23693726.0,6681370.5,486478.5
115,1992,KS,189.74694902244542,2526042.0,4590655.0,65.5,23.4,17.9,24.6,24.1,14068313.0,11009626.0,109577.33333333333
116,1992,KY,190.45477505933337,3756358.0,830657.0,121.0,33.0,10.6,70.3,77.4,31714650.0,269107.0,195356.0
117,1992,LA,243.85509565647564,4270849.0,168823.0,213.8,106.7,85.8,35.8,21.3,8735876.0,121501825.33333333,792896.0
118,1992,MA,139.3329546100737,5993474.0,14194.0,84.1,55.2,18.2,24.9,10.7,2041615.0,25345630.0,7388461.666666667
119,1992,MD,176.50955735587172,4902545.0,84417.0,66.8,33.2,10.1,25.4,23.6,6058444.666666667,7077110.5,2153363.6
120,1992,ME,107.40300852937155,1235748.0,21344.0,19.4,16.5,0.3,1.7,2.6,167295.5,250690.0,1227260.0
121,1992,MI,117.43990718291812,9470323.0,456808.0,177.7,58.5,51.9,64.6,67.4,11613629.6,32804723.333333332,514375.6
122,1992,MN,110.45077623798096,4471503.0,1837179.0,79.9,34.7,16.5,27.7,28.7,10985541.333333334,3845544.5,570821.0
123,1992,MO,185.80667956099452,5193686.0,1332949.0,101.8,39.3,12.7,47.0,49.8,11974400.0,1390183.0,105022.5
124,1992,MS,231.1956896001913,2610193.0,229464.0,48.3,26.8,13.3,11.0,8.3,2168982.0,30691298.5,482990.0
125,1992,MT,131.14878141644,822436.0,838865.0,29.3,8.3,2.5,18.0,18.5,7351822.666666667,246607.33333333334,18853.0
126,1992,NC,200.99185056076507,6831850.0,899858.0,121.1,49.5,9.8,54.9,61.8,9135302.4,1458834.3333333333,292777.2
127,1992,ND,117.01067156695088,635427.0,493219.0,47.3,7.3,2.0,29.0,38.0,15496508.0,111269.33333333333,63649.333333333336
128,1992,NE,164.18526193369388,1602406.0,5407511.0,32.6,13.7,5.5,13.0,13.4,5264402.666666667,1269295.3333333333,24551.0
129,1992,NH,121.41756861859845,1112766.0,6868.0,14.4,10.2,0.9,4.3,3.3,1250697.0,632900.0,794115.6666666666
130,1992,NJ,162.97259676547273,7827770.0,17383.0,115.9,76.0,33.9,12.8,6.0,2117612.0,42519741.0,835927.3333333334
131,1992,NM,192.41204850539597,1580750.0,723796.0,51.5,14.8,11.2,26.6,25.5,14775110.0,10736627.6,49995.333333333336
132,1992,NV,179.50399429696444,1330694.0,147147.0,33.6,12.2,4.3,18.8,17.0,7913886.0,22344278.666666668,584374.0
133,1992,NY,127.37737711297814,18082032.0,209179.0,198.0,109.5,54.7,54.8,33.8,4458595.2,90528948.33333333,11993676.4
134,1992,OH,154.41211221700283,11007609.0,609392.0,247.6,68.6,44.4,115.2,134.7,25310218.5,2151912.5,315454.0
135,1992,OK,220.24552235666675,3204174.0,1994514.0,91.8,30.5,30.0,38.3,31.3,8863819.0,64272689.2,73536.0
136,1992,OR,163.8146482082733,2973934.0,386868.0,34.6,24.0,6.7,4.5,3.9,1339672.0,7631575.5,15349.333333333334
137,1992,PA,148.9007249939017,11980819.0,565605.0,263.5,86.1,37.9,104.9,139.5,15506122.333333334,8187022.0,1767418.6666666667
138,1992,RI,143.07604735754916,1000571.0,1641.0,13.0,6.8,6.2,2.2,0.0,0.0,12852146.666666666,111316.0
139,1992,SC,226.30308733346996,3600576.0,176493.0,60.7,25.7,7.5,22.3,27.5,6252387.333333333,1394218.0,171190.0
140,1992,SD,143.39095713263657,708698.0,1481110.0,11.6,6.8,1.4,3.0,3.4,2401902.0,47917.0,19419.0
141,1992,TN,197.94127255928962,5013999.0,542515.0,105.3,35.9,13.2,47.1,56.2,10419397.5,1558373.0,153449.33333333334
142,1992,TX,247.8483357354642,17650479.0,5792846.0,608.6,282.9,199.6,180.8,126.2,59793489.333333336,509383269.6,1293769.6
143,1992,UT,290.3501974394563,1821498.0,288294.0,54.6,13.1,7.0,30.5,34.5,9240369.333333334,3495398.5,31053.0
144,1992,VA,185.99515772584698,6383315.0,416814.0,97.3,49.6,11.7,27.2,36.1,5172305.0,8990311.6,1205091.6
