,State,date,metric_name,metric_value,var4
267878,OK,19910827,TMIN,199.4742268041237,1459.0721649484535
267887,OK,19910828,PRCP,13.955056179775282,767.6470588235294
267889,OK,19910828,SNOW,0.0,
267892,OK,19910828,TMAX,338.2371134020619,1459.0721649484535
267893,OK,19910828,TMIN,209.49484536082474,1459.0721649484535
267902,OK,19910829,PRCP,31.44632768361582,767.4556213017752
267904,OK,19910829,SNOW,0.0,
267907,OK,19910829,TMAX,330.9587628865979,1459.0721649484535
267908,OK,19910829,TMIN,211.57731958762886,1459.0721649484535
267920,OK,19910830,PRCP,151.9034090909091,767.8571428571429
267922,OK,19910830,SNOW,0.0,
267925,OK,19910830,TMAX,319.6276595744681,1459.8936170212767
267926,OK,19910830,TMIN,197.74468085106383,1459.8936170212767
267937,OK,19910831,PRCP,69.83815028901734,767.8787878787879
267939,OK,19910831,SNOW,0.0,
267942,OK,19910831,TMAX,299.9887640449438,1463.258426966292
267943,OK,19910831,TMIN,197.31460674157304,1463.258426966292
267953,OK,19910901,PRCP,102.96,767.6646706586827
267955,OK,19910901,SNOW,0.0,
267958,OK,19910901,TMAX,284.4673913043478,1462.2826086956522
267959,OK,19910901,TMIN,200.92391304347825,1462.2826086956522
267969,OK,19910902,PRCP,83.77586206896552,768.0722891566265
267971,OK,19910902,SNOW,0.0,
267974,OK,19910902,TMAX,291.9021739130435,1472.0652173913043
267975,OK,19910902,TMIN,206.65217391304347,1472.0652173913043
267985,OK,19910903,PRCP,44.10919540229885,768.6746987951807
267987,OK,19910903,SNOW,0.0,
267990,OK,19910903,TMAX,304.8191489361702,1457.7659574468084
267991,OK,19910903,TMIN,206.11702127659575,1457.7659574468084
268002,OK,19910904,PRCP,138.9943181818182,768.452380952381
268004,OK,19910904,SNOW,0.0,
268007,OK,19910904,TMAX,296.19354838709677,1456.236559139785
268008,OK,19910904,TMIN,201.81521739130434,1452.5
268019,OK,19910905,PRCP,43.57627118644068,768.0473372781065
268021,OK,19910905,SNOW,0.0,
268024,OK,19910905,TMAX,287.34736842105264,1451.8947368421052
268025,OK,19910905,TMIN,181.78947368421052,1451.8947368421052
268034,OK,19910906,PRCP,11.0,767.6470588235294
268036,OK,19910906,SNOW,0.0,
268039,OK,19910906,TMAX,302.5684210526316,1452.9473684210527
268040,OK,19910906,TMIN,196.05263157894737,1452.9473684210527
268049,OK,19910907,PRCP,47.34285714285714,767.065868263473
268051,OK,19910907,SNOW,0.0,
268054,OK,19910907,TMAX,296.7741935483871,1476.6666666666667
268055,OK,19910907,TMIN,210.41935483870967,1476.6666666666667
268071,OK,19910908,PRCP,95.18857142857142,767.065868263473
268073,OK,19910908,SNOW,0.0,
268076,OK,19910908,TMAX,308.5217391304348,1473.1521739130435
268077,OK,19910908,TMIN,209.3586956521739,1473.1521739130435
